Title,Author,Rating,Avg Rating,Date Added,Num Pages
"Vicious Circle(Felix Castor, #2)","Carey, Mike",liked it,3.98,"May 24, 2015",512pp
"Hex and the City(Nightside, #4)","Green, Simon R.",really liked it,4.06,"May 24, 2015",246pp
"Just Another Judgement Day(Nightside, #9)","Green, Simon R.",really liked it,4.15,"May 24, 2015",272pp
"The Good, the Bad, and the Uncanny(Nightside, #10)","Green, Simon R.",really liked it,4.10,"May 24, 2015",275pp
"Kill the Dead(Sandman Slim, #2)","Kadrey, Richard",really liked it,4.08,"May 24, 2015",434pp
"Changes(The Dresden Files, #12)","Butcher, Jim",really liked it,4.51,"May 24, 2015",438pp
"Hexed(The Iron Druid Chronicles, #2)","Hearne, Kevin",liked it,4.22,"May 24, 2015",296pp
"Storm Front(The Dresden Files, #1)","Butcher, Jim",liked it,3.97,"May 24, 2015",372pp
Best Served Cold,"Abercrombie, Joe",really liked it,4.24,"Apr 21, 2015",534pp
"Prince of Fools(The Red Queen's War, #1)","Lawrence, Mark",really liked it,4.05,"Apr 21, 2015",355pp
"City of Light(Traveler's Gate, #3)","Wight, Will",,4.16,"Apr 05, 2015",394pp
"The Blood of Olympus(The Heroes of Olympus, #5)","Riordan, Rick",liked it,4.43,"Apr 05, 2015",516pp
"The Name of the Wind(The Kingkiller Chronicle, #1)","Rothfuss, Patrick",really liked it,4.52,"Mar 31, 2015",662pp
"Brimstone(Pendergast, #5; Diogenes, #1)","Preston, Douglas",really liked it,4.15,"Mar 12, 2015",740pp
"Reliquary(Pendergast, #2)","Preston, Douglas",really liked it,4.04,"Mar 12, 2015",464pp
"Relic(Pendergast, #1)","Preston, Douglas",liked it,4.05,"Mar 12, 2015",480pp
"City of Stairs(The Divine Cities, #1)","Bennett, Robert Jackson",really liked it,4.10,"Mar 11, 2015",452pp
"The Magician's Land(The Magicians, #3)","Grossman, Lev",really liked it,4.14,"Mar 11, 2015",402pp
"The Magician King(The Magicians, #2)","Grossman, Lev",really liked it,3.93,"Mar 11, 2015",432pp
"The Magicians(The Magicians, #1)","Grossman, Lev",it was amazing,3.53,"Mar 10, 2015",402pp
"Half a King(Shattered Sea, #1)","Abercrombie, Joe",it was amazing,3.97,"Mar 03, 2015",336pp
"The Warded Man(The Demon Cycle, #1)","Brett, Peter V.",really liked it,4.25,"Mar 03, 2015",416pp
"Those Above(The Empty Throne, #1)","Polansky, Daniel",did not like it,3.67,"Mar 03, 2015",416pp
"House of Blades(Traveler's Gate, #1)","Wight, Will",,4.07,"Mar 03, 2015",294pp
"Malice(The Faithful and the Fallen, #1)","Gwynne, John",it was ok,4.17,"Mar 03, 2015",672pp
"Blood Song(Raven's Shadow, #1)","Ryan, Anthony",really liked it,4.41,"Mar 03, 2015",591pp
"The Emperor's Blades(Chronicle of the Unhewn Throne, #1)","Staveley, Brian",really liked it,4.09,"Mar 03, 2015",480pp
"The Black Prism(Lightbringer, #1)","Weeks, Brent",really liked it,4.23,"Mar 03, 2015",629pp
"The Crimson Vault(Traveler's Gate, #2)","Wight, Will",really liked it,4.18,"Mar 03, 2015",386pp
"Tower Lord(Raven's Shadow, #2)","Ryan, Anthony",really liked it,4.16,"Mar 03, 2015",608pp
"The Broken Eye(Lightbringer, #3)","Weeks, Brent",really liked it,4.45,"Mar 03, 2015",688pp
"Emperor of Thorns(The Broken Empire, #3)","Lawrence, Mark",it was amazing,4.22,"Mar 03, 2015",434pp
"The Daylight War(Demon Cycle, #3)","Brett, Peter V.",really liked it,4.20,"Mar 03, 2015",639pp
"The Blinding Knife(Lightbringer, #2)","Weeks, Brent",really liked it,4.41,"Mar 03, 2015",671pp
"King of Thorns(The Broken Empire, #2)","Lawrence, Mark",it was amazing,4.18,"Mar 03, 2015",449pp
"Last Argument of Kings(The First Law, #3)","Abercrombie, Joe",really liked it,4.35,"Mar 03, 2015",536pp
"The Hero of Ages(Mistborn, #3)","Sanderson, Brandon",liked it,4.56,"Mar 03, 2015",572pp
"Beyond the Shadows(Night Angel, #3)","Weeks, Brent",really liked it,4.27,"Mar 03, 2015",689pp
"The Desert Spear(Demon Cycle, #2)","Brett, Peter V.",it was amazing,4.21,"Mar 03, 2015",579pp
"Shadow's Edge(Night Angel, #2)","Weeks, Brent",really liked it,4.25,"Mar 03, 2015",636pp
"Elantris(Elantris, #1)","Sanderson, Brandon",really liked it,4.17,"Mar 03, 2015",638pp
"H.I.V.E. Higher Institute of Villainous Education(H.I.V.E., #1)","Walden, Mark",it was ok,4.07,"Mar 03, 2015",320pp
"Happenstance Found(The Books of Umber, #1)","Catanese, P.W.",liked it,4.01,"Mar 03, 2015",352pp
"The Accidental Hero(Jack Blank Adventure, #1)","Myklusch, Matt",liked it,4.20,"Mar 03, 2015",501pp
"The Crimson Campaign(Powder Mage, #2)","McClellan, Brian",liked it,4.35,"Mar 03, 2015",596pp
"Promise of Blood(Powder Mage, #1)","McClellan, Brian",it was amazing,4.13,"Mar 03, 2015",545pp
"Before They Are Hanged(The First Law, #2)","Abercrombie, Joe",it was amazing,4.36,"Mar 01, 2015",441pp
"A Game of Thrones(A Song of Ice and Fire, #1)","Martin, George R.R.",really liked it,4.45,"Mar 01, 2015",835pp
The Fault in Our Stars,"Green, John",it was amazing,4.13,"Mar 01, 2015",313pp
Americanah,"Adichie, Chimamanda Ngozi",really liked it,4.31,"Mar 01, 2015",477pp
The Time Traveler's Wife,"Niffenegger, Audrey",really liked it,4.00,"Mar 01, 2015",537pp
"Angels & Demons(Robert Langdon, #1)","Brown, Dan",really liked it,3.95,"Mar 01, 2015",736pp
"The Hunger Games(The Hunger Games, #1)","Collins, Suzanne",liked it,4.34,"Mar 01, 2015",374pp
The Great Gatsby,"Fitzgerald, F. Scott",really liked it,3.93,"Mar 01, 2015",180pp
"Charlie Bone and the Red Knight(Children of the Red King, #8)","Nimmo, Jenny",really liked it,4.13,"Mar 01, 2015",423pp
"The Serpent's Shadow(The Kane Chronicles, #3)","Riordan, Rick",liked it,4.28,"Mar 01, 2015",406pp
"The Enchantress(The Secrets of the Immortal Nicholas Flamel, #6)","Scott, Michael",really liked it,4.24,"Mar 01, 2015",513pp
"The Last Guardian(Artemis Fowl, #8)","Colfer, Eoin",really liked it,4.16,"Mar 01, 2015",328pp
"Keys to the Demon Prison(Fablehaven, #5)","Mull, Brandon",really liked it,4.46,"Mar 01, 2015",593pp
"The Necromancer(The Secrets of the Immortal Nicholas Flamel, #4)","Scott, Michael",really liked it,4.13,"Mar 01, 2015",416pp
"The Journal of Curious Letters(The 13th Reality, #1)","Dashner, James",really liked it,3.94,"Mar 01, 2015",434pp
"Forest Born(The Books of Bayern, #4)","Hale, Shannon",it was ok,4.04,"Mar 01, 2015",389pp
"Rise of the Evening Star(Fablehaven, #2)","Mull, Brandon",really liked it,4.18,"Mar 01, 2015",456pp
"The Titan’s Curse(Percy Jackson and the Olympians, #3)","Riordan, Rick",really liked it,4.37,"Mar 01, 2015",352pp
"Harry Potter and the Sorcerer's Stone(Harry Potter, #1)","Rowling, J.K.",really liked it,4.47,"Mar 01, 2015",309pp
